Batch_Index,Loss,Accuracy
0,0.581064,0.804688
1,0.500073,0.859375
2,0.565751,0.765625
3,0.544449,0.796875
4,0.542480,0.796875
5,0.495857,0.859375
6,0.558309,0.773438
7,0.467623,0.898438
8,0.517384,0.828125
9,0.517011,0.828125
10,0.481866,0.875000
11,0.585993,0.734375
12,0.521074,0.820312
13,0.567855,0.757812
14,0.543922,0.789062
15,0.555616,0.773438
16,0.477183,0.875000
17,0.536710,0.796875
18,0.500712,0.843750
19,0.542031,0.789062
20,0.462370,0.890625
21,0.547603,0.781250
22,0.534830,0.796875
23,0.466395,0.882812
24,0.552726,0.773438
25,0.490025,0.851562
26,0.483200,0.859375
27,0.520386,0.812500
28,0.564224,0.757812
29,0.487853,0.851562
30,0.576604,0.742188
31,0.531565,0.796875
32,0.511976,0.820312
33,0.505117,0.828125
34,0.511136,0.820312
35,0.511302,0.820312
36,0.543483,0.781250
37,0.510376,0.820312
38,0.476635,0.859375
39,0.535991,0.789062
40,0.468920,0.867188
41,0.488678,0.843750
42,0.481150,0.851562
43,0.473925,0.859375
44,0.480420,0.851562
45,0.500111,0.828125
46,0.526608,0.796875
47,0.519456,0.804688
48,0.505604,0.820312
49,0.491260,0.835938
50,0.573857,0.742188
51,0.476758,0.851562
52,0.434272,0.898438
53,0.496915,0.828125
54,0.489136,0.835938
55,0.502707,0.820312
56,0.495255,0.828125
57,0.445166,0.882812
58,0.508686,0.812500
59,0.508334,0.812500
60,0.508112,0.812500
61,0.471613,0.851562
62,0.543495,0.773438
63,0.499733,0.820312
64,0.484814,0.835938
65,0.477104,0.843750
66,0.476680,0.843750
67,0.505722,0.812500
68,0.512804,0.804688
69,0.445797,0.875000
70,0.482452,0.835938
71,0.519428,0.796875
72,0.481708,0.835938
73,0.481302,0.835938
74,0.465820,0.851562
75,0.450226,0.867188
76,0.457334,0.859375
77,0.525570,0.789062
78,0.517695,0.796875
79,0.471339,0.843750
80,0.517237,0.796875
81,0.509277,0.804688
82,0.485742,0.828125
83,0.493219,0.820312
84,0.430426,0.882812
85,0.508319,0.804688
86,0.523814,0.789062
87,0.523639,0.789062
88,0.460183,0.851562
89,0.555048,0.757812
90,0.507226,0.804688
91,0.538954,0.773438
92,0.450827,0.859375
93,0.450479,0.859375
94,0.442069,0.867188
95,0.473954,0.835938
96,0.497936,0.812500
97,0.481470,0.828125
98,0.505628,0.804688
99,0.456434,0.851562
100,0.505235,0.804688
101,0.505053,0.804688
102,0.480146,0.828125
103,0.479892,0.828125
104,0.479640,0.828125
105,0.412936,0.890625
106,0.454142,0.851562
107,0.495563,0.812500
108,0.554017,0.757812
109,0.469945,0.835938
110,0.452830,0.851562
111,0.469414,0.835938
112,0.570830,0.742188
113,0.468902,0.835938
114,0.553825,0.757812
115,0.511119,0.796875
116,0.459666,0.843750
117,0.545183,0.765625
118,0.467796,0.835938
119,0.502041,0.804688
120,0.458748,0.843750
121,0.432558,0.867188
122,0.475614,0.828125
123,0.440636,0.859375
124,0.440344,0.859375
125,0.536153,0.773438
126,0.501058,0.804688
127,0.465794,0.835938
128,0.500787,0.804688
129,0.474191,0.828125
130,0.447462,0.851562
131,0.438335,0.859375
132,0.446939,0.851562
133,0.553588,0.757812
134,0.464268,0.835938
135,0.455106,0.843750
136,0.481796,0.820312
137,0.544603,0.765625
138,0.508527,0.796875
139,0.490371,0.812500
140,0.553618,0.757812
141,0.426658,0.867188
142,0.408234,0.882812
143,0.489892,0.812500
144,0.508021,0.796875
145,0.498796,0.804688
146,0.507861,0.796875
147,0.526165,0.781250
148,0.461727,0.835938
149,0.526079,0.781250
150,0.415270,0.875000
151,0.553762,0.757812
152,0.488918,0.812500
153,0.479543,0.820312
154,0.488730,0.812500
155,0.395514,0.890625
156,0.479200,0.820312
157,0.441680,0.851562
158,0.503308,0.800000
